area_type,availability,location,size,society,total_sqft,bath,balcony,price,total_sqft_num,BHK,Price_per_SqFt
Carpet  Area,19-May,Uttarahalli,2 BHK,,1056,2.0,1.0,349.3223936784163,1056.0,2,33079.77212863791
Plot  Area,18-Dec,Electronic City Phase II,4 BHK,Coomege ,1100 - 1500,3.0,3.0,317.0624137826472,1300.0,4,24389.416444819013
Carpet  Area,18-Dec,Old Airport Road,2 BHK,Theanmp,1056,4.0,3.0,72.82939323434577,1056.0,2,6896.722844161532
Plot  Area,18-Apr,Old Airport Road,3 Bedroom,Mainpro,2600,4.0,2.0,103.06807993367454,2600.0,3,3964.156920525944
Built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Prrscly,1521,1.0,0.0,70.52561817986795,1521.0,3,4636.792779741482
Plot  Area,19-May,Kothanur,3 Bedroom,Theanmp,2700,1.0,0.0,340.9328317766146,2700.0,3,12627.14191765239
Carpet  Area,Ready To Move,Electronic City Phase II,4 Bedroom,,1310,4.0,1.0,137.8395401404356,1310.0,4,10522.102300796609
Carpet  Area,Ready To Move,Rajaji Nagar,4 BHK,Coomege ,1521,4.0,1.0,361.7375683001728,1521.0,4,23782.877600274347
Carpet  Area,18-Apr,Lingadheeranahalli,1 BHK,Prrscly,1310,1.0,1.0,152.6672749626465,1310.0,1,11653.990455163854
Built-up  Area,18-Dec,Kothanur,6 Bedroom,,1310,1.0,1.0,375.7363068252584,1310.0,6,28682.1608263556
Carpet  Area,18-Apr,Whitefield,1 BHK,Theanmp,1521,4.0,3.0,91.93582456565466,1521.0,1,6044.432910299452
Super built-up  Area,18-Apr,Kothanur,3 Bedroom,Theanmp,2700,3.0,2.0,78.23245512476137,2700.0,3,2897.498337954125
Built-up  Area,19-May,Rajaji Nagar,3 BHK,Prrscly,1521,2.0,2.0,101.04976655700024,1521.0,3,6643.6401418146115
Plot  Area,18-Dec,Lingadheeranahalli,2 BHK,Theanmp,2600,4.0,2.0,53.2780272752737,2600.0,2,2049.1548952028347
Super built-up  Area,18-Dec,Lingadheeranahalli,2 BHK,Coomege ,1310,3.0,2.0,204.79538002288308,1310.0,2,15633.235116250617
Super built-up  Area,Ready To Move,Kothanur,4 Bedroom,,1310,5.0,0.0,128.04377886146312,1310.0,4,9774.334264233827
Super built-up  Area,19-May,Chikka Tirupathi,6 Bedroom,Mainpro,1440,2.0,2.0,238.07593927722132,1440.0,6,16533.051338695925
Super built-up  Area,18-Apr,Uttarahalli,3 Bedroom,Theanmp,1100 - 1500,5.0,3.0,285.31819825485775,1300.0,3,21947.553711912133
Super built-up  Area,18-Apr,Rajaji Nagar,3 BHK,Prrscly,1100 - 1500,5.0,1.0,358.4356850660064,1300.0,3,27571.975774308186
Plot  Area,Ready To Move,Rajaji Nagar,2 BHK,Coomege ,1521,1.0,0.0,386.6072970359583,1521.0,2,25417.96824694006
Built-up  Area,Ready To Move,Whitefield,2 BHK,SollyCl,2700,5.0,0.0,199.83756701386457,2700.0,2,7401.391370883873
Super built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,Prrscly,1056,3.0,0.0,30.476992819520827,1056.0,4,2886.0788654849266
Carpet  Area,18-Dec,Whitefield,3 BHK,Theanmp,1440,3.0,3.0,390.4407370576629,1440.0,3,27113.94007344881
Built-up  Area,18-Dec,Uttarahalli,4 BHK,,1100 - 1500,3.0,0.0,381.2873225404498,1300.0,4,29329.794041573063
Built-up  Area,Ready To Move,Uttarahalli,1 BHK,SollyCl,1056,3.0,2.0,392.8625336072383,1056.0,1,37202.89144007939
Built-up  Area,18-Apr,Electronic City Phase II,3 Bedroom,Mainpro,1310,4.0,0.0,146.44558487412056,1310.0,3,11179.052280467218
Built-up  Area,18-Apr,Chikka Tirupathi,4 BHK,Coomege ,1521,4.0,3.0,49.29133156608762,1521.0,4,3240.7187091444853
Carpet  Area,18-Apr,Kothanur,3 Bedroom,Coomege ,1521,2.0,3.0,124.9780492676312,1521.0,3,8216.834271376149
Super built-up  Area,18-Dec,Whitefield,4 BHK,Theanmp,1100 - 1500,1.0,3.0,152.23810883719264,1300.0,4,11710.623756707126
Super built-up  Area,18-Dec,Uttarahalli,3 BHK,Coomege ,2600,5.0,0.0,224.17548466363905,2600.0,3,8622.13402552458
Carpet  Area,19-May,Old Airport Road,6 Bedroom,Prrscly,1440,2.0,1.0,290.3413627207061,1440.0,6,20162.59463338237
Carpet  Area,19-May,Lingadheeranahalli,3 BHK,,1206,1.0,2.0,300.3476867825153,1206.0,3,24904.451640341238
Carpet  Area,18-Dec,Rajaji Nagar,6 Bedroom,Coomege ,1440,5.0,0.0,262.00227089510656,1440.0,6,18194.60214549351
Carpet  Area,Ready To Move,Chikka Tirupathi,1 BHK,Mainpro,1100 - 1500,2.0,1.0,289.6580976712246,1300.0,1,22281.392128555737
Carpet  Area,18-Dec,Rajaji Nagar,4 Bedroom,Mainpro,2700,5.0,0.0,252.69486809407888,2700.0,4,9359.06918866959
Plot  Area,18-Apr,Old Airport Road,1 BHK,Mainpro,1100 - 1500,3.0,2.0,89.55554689831465,1300.0,1,6888.88822294728
Super built-up  Area,18-Dec,Whitefield,3 BHK,Theanmp,1056,1.0,0.0,31.26407267110242,1056.0,3,2960.6129423392445
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Prrscly,2700,1.0,3.0,377.8773333655203,2700.0,3,13995.456791315568
Plot  Area,18-Apr,Uttarahalli,2 BHK,Theanmp,1056,4.0,2.0,74.36927192781525,1056.0,2,7042.544690134019
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Theanmp,1056,4.0,1.0,146.58051925883703,1056.0,3,13880.730990420174
Super built-up  Area,18-Apr,Electronic City Phase II,1 BHK,Prrscly,2700,1.0,2.0,374.3794502371948,2700.0,1,13865.905564340548
Built-up  Area,18-Dec,Whitefield,2 BHK,Mainpro,1521,1.0,1.0,45.30216820746081,1521.0,2,2978.446298978357
Built-up  Area,18-Apr,Rajaji Nagar,3 Bedroom,Coomege ,1056,3.0,0.0,38.14331751243408,1056.0,3,3612.0565826168636
Plot  Area,18-Apr,Uttarahalli,4 BHK,Mainpro,1521,3.0,1.0,51.03565982152723,1521.0,4,3355.4016976678
Super built-up  Area,18-Dec,Electronic City Phase II,1 BHK,Mainpro,2600,3.0,0.0,363.40145617703774,2600.0,1,13976.97908373222
Super built-up  Area,18-Dec,Chikka Tirupathi,3 Bedroom,,1206,1.0,2.0,243.282771796717,1206.0,3,20172.700812331423
Carpet  Area,19-May,Chikka Tirupathi,1 BHK,Mainpro,1056,4.0,3.0,235.89423823011523,1056.0,1,22338.469529366976
Built-up  Area,Ready To Move,Uttarahalli,4 Bedroom,Mainpro,1100 - 1500,3.0,2.0,141.93974073354724,1300.0,4,10918.44159488825
Built-up  Area,18-Dec,Lingadheeranahalli,1 BHK,,1206,4.0,0.0,202.56981175587015,1206.0,1,16796.83347892787
Built-up  Area,18-Apr,Electronic City Phase II,6 Bedroom,Mainpro,1440,1.0,3.0,373.9776821344132,1440.0,6,25970.67237044536
Built-up  Area,Ready To Move,Uttarahalli,4 BHK,Prrscly,1521,2.0,3.0,288.2388785512685,1521.0,4,18950.616604291157
Built-up  Area,18-Dec,Rajaji Nagar,4 Bedroom,,1310,5.0,2.0,122.53842600908273,1310.0,4,9354.078321304025
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,Mainpro,1100 - 1500,1.0,0.0,224.95926568601777,1300.0,2,17304.558898924442
Plot  Area,18-Dec,Lingadheeranahalli,3 BHK,SollyCl,1521,1.0,2.0,87.83590834820004,1521.0,3,5774.878918356348
Built-up  Area,19-May,Old Airport Road,3 Bedroom,,2700,3.0,2.0,254.79833452145704,2700.0,3,9436.975352646557
Carpet  Area,19-May,Lingadheeranahalli,3 Bedroom,,2700,3.0,3.0,338.66385858092013,2700.0,3,12543.10587336741
Built-up  Area,18-Dec,Chikka Tirupathi,3 BHK,,1056,3.0,0.0,218.83178090579165,1056.0,3,20722.706525169662
Built-up  Area,19-May,Chikka Tirupathi,2 BHK,Theanmp,1521,4.0,0.0,274.49326035618856,1521.0,2,18046.894172004508
Super built-up  Area,19-May,Chikka Tirupathi,6 Bedroom,Mainpro,2700,4.0,0.0,314.16291882508705,2700.0,6,11635.66366018841
Super built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,Coomege ,1310,5.0,0.0,381.9450953252089,1310.0,6,29156.11414696251
Built-up  Area,18-Apr,Whitefield,3 Bedroom,Coomege ,1100 - 1500,5.0,3.0,103.46063017683508,1300.0,3,7958.510013602699
Super built-up  Area,18-Dec,Chikka Tirupathi,6 Bedroom,SollyCl,2700,2.0,1.0,310.7777565377241,2700.0,6,11510.287279174967
Plot  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,Theanmp,1206,3.0,3.0,42.44235711618845,1206.0,6,3519.266759219606
Built-up  Area,19-May,Whitefield,1 BHK,Mainpro,1100 - 1500,5.0,1.0,149.3758224464633,1300.0,1,11490.447880497177
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Prrscly,2600,2.0,1.0,71.11128586859729,2600.0,3,2735.049456484511
Carpet  Area,18-Dec,Rajaji Nagar,3 BHK,Mainpro,2600,3.0,2.0,332.6437288922528,2600.0,3,12793.989572778954
Plot  Area,18-Dec,Chikka Tirupathi,1 BHK,Theanmp,1206,4.0,0.0,327.20024196066004,1206.0,1,27131.03167169652
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,Theanmp,2700,5.0,3.0,188.2843674037184,2700.0,4,6973.495089026606
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Mainpro,1100 - 1500,5.0,1.0,144.82543570424278,1300.0,4,11140.418131095597
Plot  Area,18-Dec,Uttarahalli,4 Bedroom,Coomege ,1056,2.0,1.0,154.64151507159647,1056.0,4,14644.082866628452
Plot  Area,19-May,Lingadheeranahalli,1 BHK,Mainpro,1521,3.0,2.0,224.53535375318543,1521.0,1,14762.35067410818
Super built-up  Area,18-Apr,Lingadheeranahalli,3 BHK,Coomege ,1056,1.0,1.0,229.41581996889536,1056.0,3,21724.982951599937
Built-up  Area,19-May,Whitefield,4 Bedroom,Mainpro,1310,3.0,1.0,95.66460538623092,1310.0,4,7302.641632536711
Carpet  Area,18-Dec,Lingadheeranahalli,4 Bedroom,SollyCl,1521,5.0,2.0,331.61424008253255,1521.0,4,21802.38264842423
Super built-up  Area,19-May,Old Airport Road,1 BHK,Theanmp,1521,1.0,0.0,349.48406069781913,1521.0,1,22977.255798673184
Plot  Area,Ready To Move,Uttarahalli,2 BHK,Mainpro,1100 - 1500,4.0,3.0,202.7204344747838,1300.0,2,15593.87957498337
Super built-up  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Mainpro,1521,2.0,0.0,219.62157522697728,1521.0,4,14439.28831209581
Super built-up  Area,19-May,Whitefield,1 BHK,Mainpro,1206,5.0,3.0,271.4777680763113,1206.0,1,22510.59436785334
Super built-up  Area,Ready To Move,Chikka Tirupathi,3 Bedroom,SollyCl,2600,2.0,0.0,395.5709417292842,2600.0,3,15214.266989587852
Built-up  Area,Ready To Move,Kothanur,6 Bedroom,SollyCl,1100 - 1500,3.0,1.0,272.9255227347608,1300.0,6,20994.270979596986
Carpet  Area,19-May,Electronic City Phase II,1 BHK,,1521,2.0,2.0,389.82450380241056,1521.0,1,25629.4874294813
Carpet  Area,19-May,Kothanur,4 Bedroom,,2700,3.0,1.0,71.609691810388,2700.0,4,2652.210807792148
Super built-up  Area,Ready To Move,Old Airport Road,6 Bedroom,Prrscly,1056,4.0,3.0,70.77974676497851,1056.0,6,6702.627534562359
Plot  Area,18-Dec,Kothanur,4 BHK,Theanmp,1056,4.0,0.0,172.6918151417387,1056.0,4,16353.39158539192
Super built-up  Area,18-Dec,Electronic City Phase II,2 BHK,SollyCl,1206,5.0,2.0,98.30184581783818,1206.0,2,8151.065159024724
Plot  Area,18-Dec,Chikka Tirupathi,4 BHK,,1310,5.0,3.0,175.19544922032637,1310.0,4,13373.69841376537
Carpet  Area,18-Apr,Rajaji Nagar,3 BHK,Theanmp,2600,1.0,2.0,220.18910150999108,2600.0,3,8468.811596538118
Carpet  Area,Ready To Move,Electronic City Phase II,4 BHK,,1521,1.0,1.0,201.2955064693608,1521.0,4,13234.418571292621
Built-up  Area,18-Dec,Kothanur,4 Bedroom,SollyCl,1521,3.0,2.0,327.7731925085662,1521.0,4,21549.848291161485
Super built-up  Area,19-May,Old Airport Road,3 BHK,Mainpro,2700,2.0,2.0,102.17826686569154,2700.0,3,3784.380254284872
Built-up  Area,19-May,Chikka Tirupathi,4 BHK,SollyCl,2700,4.0,0.0,34.94326498420341,2700.0,4,1294.194999414941
Built-up  Area,Ready To Move,Kothanur,2 BHK,Coomege ,1100 - 1500,3.0,3.0,67.86163399433889,1300.0,2,5220.125691872222
Built-up  Area,19-May,Lingadheeranahalli,4 Bedroom,SollyCl,2700,1.0,2.0,398.68931570515184,2700.0,4,14766.270952042662
Carpet  Area,18-Dec,Lingadheeranahalli,6 Bedroom,SollyCl,2600,5.0,2.0,263.1972634766237,2600.0,6,10122.971672177833
Super built-up  Area,Ready To Move,Uttarahalli,6 Bedroom,Theanmp,1100 - 1500,2.0,2.0,349.50551079310327,1300.0,6,26885.039291777175
Plot  Area,19-May,Kothanur,2 BHK,Prrscly,1440,1.0,2.0,171.49464668015776,1440.0,2,11909.350463899844
Super built-up  Area,18-Dec,Kothanur,2 BHK,,1100 - 1500,1.0,3.0,192.46265277958256,1300.0,2,14804.819444583274
Built-up  Area,18-Dec,Kothanur,1 BHK,Prrscly,2700,3.0,3.0,294.1815926752284,2700.0,1,10895.614543526977
Super built-up  Area,19-May,Uttarahalli,1 BHK,Mainpro,1100 - 1500,4.0,2.0,340.34697060029566,1300.0,1,26180.536200022743
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SollyCl,1310,1.0,2.0,299.93141856968003,1310.0,2,22895.52813509008
Built-up  Area,18-Apr,Rajaji Nagar,4 Bedroom,Prrscly,1056,1.0,1.0,319.5973738627096,1056.0,4,30264.90282790811
Super built-up  Area,18-Apr,Whitefield,4 Bedroom,Theanmp,1056,5.0,0.0,163.74025961179552,1056.0,4,15505.706402632151
Carpet  Area,19-May,Uttarahalli,6 Bedroom,SollyCl,1310,3.0,3.0,202.93696900350483,1310.0,6,15491.371679656855
Carpet  Area,19-May,Rajaji Nagar,6 Bedroom,Prrscly,1056,5.0,0.0,36.63372024078171,1056.0,6,3469.102295528571
Carpet  Area,19-May,Rajaji Nagar,3 BHK,Coomege ,1310,2.0,0.0,108.1420359198334,1310.0,3,8255.11724578881
Plot  Area,18-Apr,Uttarahalli,2 BHK,Mainpro,1521,5.0,2.0,83.54453779649307,1521.0,2,5492.737527711576
Built-up  Area,18-Dec,Electronic City Phase II,6 Bedroom,Mainpro,2600,4.0,1.0,167.58955282006562,2600.0,6,6445.752031540986
Super built-up  Area,Ready To Move,Electronic City Phase II,3 Bedroom,Prrscly,1100 - 1500,4.0,1.0,219.4679451911276,1300.0,3,16882.149630086737
Carpet  Area,19-May,Rajaji Nagar,2 BHK,Mainpro,1440,5.0,2.0,123.87318546246055,1440.0,2,8602.304546004205
Built-up  Area,19-May,Uttarahalli,2 BHK,Mainpro,1100 - 1500,1.0,2.0,128.89819858431468,1300.0,2,9915.246044947284
Super built-up  Area,18-Apr,Chikka Tirupathi,6 Bedroom,Coomege ,1100 - 1500,2.0,2.0,92.03801852071726,1300.0,6,7079.847578516713
Built-up  Area,18-Apr,Rajaji Nagar,2 BHK,,1440,3.0,2.0,236.2309698478719,1440.0,2,16404.92846165777
Carpet  Area,Ready To Move,Rajaji Nagar,6 Bedroom,Prrscly,1440,3.0,2.0,69.64553575340852,1440.0,6,4836.495538431147
Carpet  Area,Ready To Move,Rajaji Nagar,4 Bedroom,Mainpro,1440,3.0,2.0,194.83827775194356,1440.0,4,13530.435954996083
Super built-up  Area,18-Dec,Whitefield,6 Bedroom,Coomege ,1206,5.0,1.0,282.7636255429522,1206.0,6,23446.403444689236
Super built-up  Area,18-Apr,Chikka Tirupathi,3 Bedroom,Theanmp,2700,4.0,0.0,393.1360276593067,2700.0,3,14560.593617011358
Carpet  Area,18-Apr,Uttarahalli,2 BHK,,2700,4.0,1.0,160.98266274124708,2700.0,2,5962.32084226841
Built-up  Area,19-May,Uttarahalli,3 Bedroom,SollyCl,1310,4.0,2.0,50.123283348541165,1310.0,3,3826.204835766501
Built-up  Area,18-Apr,Uttarahalli,6 Bedroom,Theanmp,1100 - 1500,3.0,2.0,157.90034465517974,1300.0,6,12146.180358090749
Super built-up  Area,18-Apr,Rajaji Nagar,1 BHK,Prrscly,1100 - 1500,4.0,1.0,265.8667789096996,1300.0,1,20451.290685361506
Carpet  Area,19-May,Whitefield,3 BHK,SollyCl,2700,4.0,0.0,382.912450679644,2700.0,3,14181.942617764591
Carpet  Area,18-Dec,Kothanur,3 Bedroom,Theanmp,2600,4.0,0.0,308.46519782988696,2600.0,3,11864.046070380267
Super built-up  Area,Ready To Move,Old Airport Road,4 BHK,SollyCl,1056,5.0,2.0,195.68403139824335,1056.0,4,18530.684791500316
Built-up  Area,Ready To Move,Old Airport Road,1 BHK,Prrscly,2600,4.0,1.0,372.0424059781656,2600.0,1,14309.323306852524
Super built-up  Area,18-Dec,Electronic City Phase II,3 BHK,,1206,5.0,3.0,100.13576353807328,1206.0,3,8303.131304981202
Plot  Area,18-Apr,Lingadheeranahalli,3 Bedroom,Theanmp,1310,5.0,1.0,154.1514005316438,1310.0,3,11767.282483331588
Super built-up  Area,18-Dec,Lingadheeranahalli,3 Bedroom,,1440,4.0,3.0,48.7205462480412,1440.0,3,3383.3712672250836
Super built-up  Area,18-Dec,Whitefield,3 Bedroom,Prrscly,1521,1.0,0.0,184.6208970719252,1521.0,3,12138.12604023177
Super built-up  Area,19-May,Whitefield,4 Bedroom,Mainpro,2600,3.0,2.0,395.69247560650246,2600.0,4,15218.941369480863
Super built-up  Area,19-May,Kothanur,4 BHK,Theanmp,1440,4.0,1.0,259.1098295573598,1440.0,4,17993.73816370554
Built-up  Area,19-May,Whitefield,4 Bedroom,Coomege ,2700,3.0,3.0,230.6767094694886,2700.0,4,8543.581832203281
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,Prrscly,1440,3.0,1.0,228.9616121134052,1440.0,4,15900.111952319807
Plot  Area,18-Apr,Lingadheeranahalli,3 BHK,SollyCl,1440,5.0,2.0,108.88976879324876,1440.0,3,7561.7894995311635
Carpet  Area,18-Dec,Old Airport Road,3 Bedroom,Mainpro,2600,2.0,1.0,114.3558781230467,2600.0,3,4398.303004732566
Carpet  Area,18-Apr,Lingadheeranahalli,3 Bedroom,Prrscly,2700,3.0,3.0,231.54030467925944,2700.0,3,8575.566839972571
Built-up  Area,18-Apr,Uttarahalli,3 Bedroom,Coomege ,1056,1.0,2.0,395.0366999735616,1056.0,3,37408.77840658728
Super built-up  Area,18-Apr,Electronic City Phase II,2 BHK,Mainpro,2600,5.0,1.0,258.48136552553854,2600.0,2,9941.590981751482
Super built-up  Area,19-May,Old Airport Road,3 BHK,Mainpro,1056,2.0,1.0,294.8539706302776,1056.0,3,27921.777521806594
Carpet  Area,Ready To Move,Rajaji Nagar,1 BHK,Coomege ,1521,4.0,3.0,298.74241884386026,1521.0,1,19641.184670865237
Super built-up  Area,Ready To Move,Lingadheeranahalli,4 BHK,Coomege ,1440,2.0,3.0,228.5209149108767,1440.0,4,15869.507979921995
Plot  Area,19-May,Electronic City Phase II,4 Bedroom,Prrscly,1056,4.0,0.0,205.06282779928583,1056.0,4,19418.828390083887
Super built-up  Area,18-Dec,Lingadheeranahalli,4 BHK,Prrscly,1100 - 1500,4.0,1.0,396.06582671048,1300.0,4,30466.602054652307
Carpet  Area,18-Apr,Kothanur,3 Bedroom,Coomege ,1440,2.0,1.0,65.17512062607926,1440.0,3,4526.050043477727
Built-up  Area,18-Dec,Rajaji Nagar,1 BHK,Coomege ,1440,4.0,1.0,332.1566019143937,1440.0,1,23066.430688499564
Plot  Area,19-May,Old Airport Road,4 BHK,,1521,3.0,1.0,229.3042769447825,1521.0,4,15075.889345482083
Plot  Area,19-May,Electronic City Phase II,1 BHK,Mainpro,2600,4.0,1.0,175.03558420044823,2600.0,1,6732.137853863394
Carpet  Area,18-Dec,Chikka Tirupathi,3 Bedroom,Coomege ,1440,3.0,3.0,159.6219045239746,1440.0,3,11084.85448083157
Super built-up  Area,19-May,Rajaji Nagar,6 Bedroom,Theanmp,1100 - 1500,4.0,0.0,151.7307200161577,1300.0,6,11671.593847396747
Plot  Area,18-Dec,Kothanur,3 Bedroom,Mainpro,1056,2.0,0.0,345.2698227684015,1056.0,3,32696.005943977416
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,SollyCl,2700,1.0,1.0,185.70138220988449,2700.0,3,6877.828970736463
Plot  Area,19-May,Uttarahalli,4 Bedroom,SollyCl,2600,5.0,2.0,373.14979343335375,2600.0,4,14351.915132052067
Built-up  Area,18-Dec,Whitefield,2 BHK,SollyCl,1310,2.0,0.0,52.01508436973279,1310.0,2,3970.6171274605185
Built-up  Area,19-May,Kothanur,4 Bedroom,Mainpro,1206,2.0,1.0,395.86232517096346,1206.0,4,32824.4050722192
Plot  Area,Ready To Move,Uttarahalli,2 BHK,Mainpro,2700,2.0,0.0,388.9437929006616,2700.0,2,14405.325662987467
Built-up  Area,18-Apr,Uttarahalli,3 BHK,Mainpro,1521,5.0,0.0,253.3419715399705,1521.0,3,16656.27689283172
Built-up  Area,18-Dec,Old Airport Road,3 BHK,,2600,1.0,3.0,144.2326123166183,2600.0,3,5547.40816602378
Plot  Area,18-Apr,Uttarahalli,3 BHK,SollyCl,1100 - 1500,4.0,2.0,287.9548135671994,1300.0,3,22150.370274399953
Super built-up  Area,18-Dec,Chikka Tirupathi,1 BHK,SollyCl,1206,5.0,2.0,183.66579053045535,1206.0,1,15229.33586488021
Plot  Area,19-May,Electronic City Phase II,6 Bedroom,Mainpro,1206,5.0,0.0,40.67184933652395,1206.0,6,3372.4584856155843
Built-up  Area,18-Apr,Lingadheeranahalli,3 BHK,Coomege ,1100 - 1500,4.0,2.0,146.60203291282383,1300.0,3,11277.079454832603
Plot  Area,Ready To Move,Kothanur,2 BHK,Mainpro,1440,5.0,3.0,301.43567570187724,1440.0,2,20933.033034852586
Carpet  Area,19-May,Whitefield,3 Bedroom,SollyCl,1206,1.0,3.0,177.66468380619105,1206.0,3,14731.731658888146
Super built-up  Area,18-Apr,Electronic City Phase II,1 BHK,Prrscly,1440,2.0,3.0,334.2813759065924,1440.0,1,23213.984437957806
Carpet  Area,18-Apr,Whitefield,6 Bedroom,Prrscly,1056,1.0,0.0,291.56754074849965,1056.0,6,27610.56257088065
Plot  Area,18-Apr,Uttarahalli,3 Bedroom,Mainpro,2600,1.0,1.0,124.53581722760156,2600.0,3,4789.839124138522
Super built-up  Area,18-Dec,Uttarahalli,4 BHK,Theanmp,1056,2.0,2.0,73.64735639652739,1056.0,4,6974.181476943881
Super built-up  Area,Ready To Move,Lingadheeranahalli,6 Bedroom,Prrscly,1100 - 1500,5.0,1.0,364.9837042701394,1300.0,6,28075.669559241494
Built-up  Area,18-Apr,Whitefield,6 Bedroom,Prrscly,1310,2.0,0.0,291.8365557574795,1310.0,6,22277.599676143476
Carpet  Area,19-May,Electronic City Phase II,3 BHK,Theanmp,2600,1.0,0.0,245.80371072296208,2600.0,3,9453.988873960081
Super built-up  Area,18-Apr,Lingadheeranahalli,4 BHK,Theanmp,1521,5.0,3.0,249.603707455157,1521.0,4,16410.50016141729
Carpet  Area,Ready To Move,Kothanur,3 BHK,Theanmp,1100 - 1500,3.0,2.0,122.00793590220552,1300.0,3,9385.225838631193
Super built-up  Area,18-Dec,Old Airport Road,6 Bedroom,,2600,3.0,3.0,62.17970596274374,2600.0,6,2391.527152413221
Built-up  Area,18-Apr,Electronic City Phase II,3 BHK,Theanmp,1440,3.0,2.0,121.08435492511455,1440.0,3,8408.63575868851
Plot  Area,18-Apr,Whitefield,1 BHK,Mainpro,1521,3.0,2.0,93.27178649270208,1521.0,1,6132.267356522162
Plot  Area,19-May,Lingadheeranahalli,4 Bedroom,Mainpro,1521,3.0,1.0,115.3839425450245,1521.0,4,7586.05802399898
Super built-up  Area,Ready To Move,Whitefield,3 Bedroom,,1206,1.0,1.0,215.27839836974363,1206.0,3,17850.613463494497
Built-up  Area,18-Dec,Uttarahalli,3 BHK,Prrscly,1440,1.0,0.0,293.4593538516556,1440.0,3,20379.12179525386
Super built-up  Area,Ready To Move,Chikka Tirupathi,6 Bedroom,Prrscly,1056,3.0,3.0,92.82930901685486,1056.0,6,8790.65426295974
Super built-up  Area,19-May,Rajaji Nagar,2 BHK,Theanmp,1056,4.0,2.0,60.76563149150871,1056.0,2,5754.321163968628
Built-up  Area,Ready To Move,Electronic City Phase II,3 Bedroom,SollyCl,2600,4.0,2.0,355.2645499413327,2600.0,3,13664.021151589719
Built-up  Area,18-Dec,Rajaji Nagar,4 Bedroom,,1100 - 1500,1.0,2.0,155.6843198540137,1300.0,4,11975.716911847207
Super built-up  Area,18-Apr,Old Airport Road,2 BHK,Theanmp,1206,1.0,0.0,355.2544633726933,1206.0,2,29457.252352627966
Built-up  Area,19-May,Kothanur,3 Bedroom,,1100 - 1500,2.0,2.0,328.95074003414084,1300.0,3,25303.903079549294
Super built-up  Area,19-May,Electronic City Phase II,3 BHK,Prrscly,2600,3.0,1.0,45.64441610462285,2600.0,3,1755.5544655624171
Plot  Area,19-May,Electronic City Phase II,1 BHK,Mainpro,1100 - 1500,4.0,2.0,218.490966198726,1300.0,1,16806.997399902
Built-up  Area,18-Dec,Electronic City Phase II,4 Bedroom,,2700,2.0,3.0,305.2195213026386,2700.0,4,11304.42671491254
Carpet  Area,19-May,Kothanur,4 BHK,,1521,4.0,0.0,106.25652287122804,1521.0,4,6985.964685813809
Built-up  Area,18-Dec,Chikka Tirupathi,3 BHK,,2700,4.0,0.0,329.53385725832044,2700.0,3,12204.957676234091
Built-up  Area,18-Dec,Whitefield,6 Bedroom,Mainpro,1100 - 1500,1.0,3.0,383.9564877946196,1300.0,6,29535.114445739968
Carpet  Area,18-Dec,Uttarahalli,6 Bedroom,SollyCl,1056,2.0,3.0,302.43071005214745,1056.0,6,28639.271785241235
Plot  Area,18-Apr,Electronic City Phase II,3 Bedroom,,2600,2.0,2.0,186.14489530325324,2600.0,3,7159.419050125124
Plot  Area,19-May,Whitefield,6 Bedroom,Coomege ,1310,5.0,0.0,373.8089155395363,1310.0,6,28535.03172057529
Built-up  Area,18-Apr,Old Airport Road,4 BHK,SollyCl,1100 - 1500,2.0,3.0,51.422982434349166,1300.0,4,3955.614033411474
Carpet  Area,18-Dec,Old Airport Road,4 BHK,Mainpro,2600,3.0,3.0,53.20952113782773,2600.0,4,2046.520043762605
Carpet  Area,18-Apr,Whitefield,1 BHK,,1206,4.0,1.0,226.96347814677551,1206.0,1,18819.525551142247
Super built-up  Area,19-May,Electronic City Phase II,3 BHK,Theanmp,2700,1.0,1.0,221.2100784008212,2700.0,3,8192.96586669708
Carpet  Area,19-May,Whitefield,1 BHK,Coomege ,1100 - 1500,5.0,3.0,31.21355716710541,1300.0,1,2401.0428590081083
Super built-up  Area,18-Dec,Whitefield,2 BHK,Theanmp,1056,1.0,1.0,359.8302278238569,1056.0,2,34074.83218028948
Plot  Area,18-Dec,Lingadheeranahalli,3 Bedroom,,1440,2.0,1.0,103.7156657603064,1440.0,3,7202.476788910167
Plot  Area,18-Apr,Lingadheeranahalli,2 BHK,SollyCl,1521,1.0,1.0,330.0718578474249,1521.0,2,21700.976847299466
